"Magnetizzazione:0","Magnetizzazione:1","Magnetizzazione:2","Heff:0","Heff:1","Heff:2","Hms:0","Hms:1","Hms:2","Hext:0","Hext:1","Hext:2","Hex:0","Hex:1","Hex:2","Cell Type"
6.62569e+005,-5.48272e+005,4.85679e+002,-2.47579e+003,2.04870e+003,-1.81487e+000,-1.28939e+004,3.31536e+002,-1.16276e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.58186e+003,1.71717e+003,1.14461e+002,9
6.90052e+005,-5.13253e+005,4.68863e+002,-1.52173e+003,1.13184e+003,-1.03402e+000,-1.20511e+004,-4.31040e+002,-1.03406e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.47064e+003,1.56288e+003,1.02372e+002,9
7.09693e+005,-4.85732e+005,4.49047e+002,-1.34883e+003,9.23177e+002,-8.53533e-001,-1.24629e+004,-1.18782e+003,-8.64428e+001,1.40000e+004,0.00000e+000,0.00000e+000,-2.88591e+003,2.11099e+003,8.55892e+001,9
7.58008e+005,-4.06230e+005,4.55290e+002,-2.80301e+003,1.50218e+003,-1.68372e+000,-1.27543e+004,7.93280e+002,-9.65004e+001,1.40000e+004,0.00000e+000,0.00000e+000,-4.04870e+003,7.08901e+002,9.48167e+001,9
7.79202e+005,-3.63928e+005,4.42557e+002,6.84516e+002,-3.19705e+002,3.88644e-001,-9.66889e+003,-1.20850e+003,-8.54057e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.64659e+003,8.88795e+002,8.57943e+001,9
7.95499e+005,-3.26773e+005,4.28200e+002,-1.97038e+003,8.09386e+002,-1.06076e+000,-1.27792e+004,-7.54780e+002,-7.34685e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.19113e+003,1.56417e+003,7.24078e+001,9
8.11825e+005,-2.83795e+005,4.24649e+002,-1.52526e+003,5.33195e+002,-7.97996e-001,-1.21638e+004,-7.02374e+002,-7.01754e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.36142e+003,1.23557e+003,6.93774e+001,9
8.25830e+005,-2.40008e+005,4.18826e+002,-1.62749e+003,4.72991e+002,-8.25566e-001,-1.21272e+004,1.86053e+002,-6.21772e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.50025e+003,2.86938e+002,6.13516e+001,9
8.38222e+005,-1.92309e+005,4.16993e+002,-1.77530e+003,4.07299e+002,-8.83352e-001,-1.24387e+004,5.93526e+001,-5.82397e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.33662e+003,3.47947e+002,5.73563e+001,9
8.47998e+005,-1.43177e+005,4.15709e+002,-2.70243e+003,4.56282e+002,-1.32500e+000,-1.31201e+004,1.86637e+003,-5.48356e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.58234e+003,-1.41009e+003,5.35106e+001,9
8.53606e+005,-1.04671e+005,4.10183e+002,1.17199e+003,-1.43712e+002,5.62972e-001,-9.60926e+003,-1.11368e+002,-4.59277e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.21875e+003,-3.23435e+001,4.64907e+001,9
8.57617e+005,-6.39821e+004,4.31150e+002,1.57598e+003,-1.17575e+002,7.92062e-001,-8.90852e+003,2.27542e+002,-6.90663e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.51550e+003,-3.45117e+002,6.98584e+001,9
8.59907e+005,-1.26565e+004,4.46061e+002,-3.04780e+003,4.48590e+001,-1.58125e+000,-1.33465e+004,-1.67999e+003,-8.45986e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.70131e+003,1.72485e+003,8.30173e+001,9
8.58745e+005,4.64453e+004,4.40936e+002,-4.31771e+003,-2.33524e+002,-2.21726e+000,-1.45942e+004,-1.17449e+002,-7.91614e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.72356e+003,-1.16075e+002,7.69441e+001,9
8.54413e+005,9.78713e+004,4.35866e+002,-2.94287e+003,-3.37100e+002,-1.50154e+000,-1.34782e+004,9.58205e+002,-7.32869e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.46469e+003,-1.29531e+003,7.17854e+001,9
8.48239e+005,1.41743e+005,4.30403e+002,-2.33162e+003,-3.89622e+002,-1.18336e+000,-1.32593e+004,1.62912e+003,-6.69513e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.07234e+003,-2.01874e+003,6.57679e+001,9
8.40566e+005,1.81793e+005,4.35631e+002,-7.00135e+002,-1.51421e+002,-3.63140e-001,-1.10708e+004,-9.79221e+002,-7.19710e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.62929e+003,8.27799e+002,7.16078e+001,9
8.28634e+005,2.30142e+005,4.45484e+002,-2.11658e+003,-5.87854e+002,-1.13821e+000,-1.23837e+004,-6.73018e+002,-8.22470e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.73292e+003,8.51642e+001,8.11088e+001,9
8.11517e+005,2.84676e+005,4.47281e+002,-3.38178e+003,-1.18631e+003,-1.86424e+000,-1.37813e+004,-4.02156e+002,-8.41226e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.60052e+003,-7.84156e+002,8.22584e+001,9
7.90769e+005,3.38059e+005,4.50632e+002,-3.87373e+003,-1.65605e+003,-2.20783e+000,-1.47628e+004,4.18993e+002,-8.67288e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.11093e+003,-2.07504e+003,8.45210e+001,9
7.68607e+005,3.85803e+005,4.49350e+002,-1.94822e+003,-9.77911e+002,-1.13932e+000,-1.32263e+004,1.58041e+003,-8.41595e+001,1.40000e+004,0.00000e+000,0.00000e+000,-2.72196e+003,-2.55832e+003,8.30202e+001,9
7.49356e+005,4.21977e+005,4.38578e+002,4.36931e+002,2.46044e+002,2.55402e-001,-1.06513e+004,1.87775e+003,-7.10273e+001,1.40000e+004,0.00000e+000,0.00000e+000,-2.91176e+003,-1.63170e+003,7.12827e+001,9
6.97664e+005,5.02856e+005,5.12799e+002,-5.78280e+003,-4.16807e+003,-4.25086e+000,-1.63807e+004,-1.93758e+003,-1.31318e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.40214e+003,-2.23049e+003,1.27067e+002,9
6.59613e+005,5.51825e+005,5.02832e+002,-3.53227e+003,-2.95505e+003,-2.69306e+000,-1.47400e+004,-1.29980e+002,-1.24199e+002,1.40000e+004,0.00000e+000,0.00000e+000,-2.79222e+003,-2.82507e+003,1.21506e+002,9
6.21406e+005,5.94521e+005,4.97481e+002,-2.47080e+003,-2.36390e+003,-1.97842e+000,-1.38575e+004,4.24966e+002,-1.19769e+002,1.40000e+004,0.00000e+000,0.00000e+000,-2.61329e+003,-2.78887e+003,1.17790e+002,9
